(0.0|17.37890625)
(1.0|17.50390625)
(3.0|17.82421875)
(5.0|17.76171875)
(6.0|17.88671875)
(8.0|17.88671875)
(9.0|17.84375)
(11.0|22.33203125)
(12.0|22.83203125)
(14.0|24.07421875)
(16.0|24.18359375)
(18.0|24.04296875)
(19.0|24.04296875)
(20.0|24.171875)
(22.0|24.171875)
(23.0|24.171875)
(25.0|24.05859375)
(27.0|24.05859375)
(29.0|24.05859375)
(31.0|24.0625)
(32.0|24.0625)
(34.0|24.19140625)
(35.0|24.0703125)
(36.0|24.0703125)
(37.0|24.07421875)
(39.0|24.07421875)
(41.0|24.11328125)
(42.0|24.11328125)
(44.0|24.11328125)
(45.0|24.11328125)
(47.0|24.11328125)
(48.0|24.08203125)
(50.0|24.08203125)
(51.0|24.08203125)
(52.0|24.20703125)
(54.0|24.0859375)
(55.0|24.0859375)
(57.0|24.0859375)
(58.0|24.0859375)
(59.0|24.0859375)
(61.0|24.0859375)
(63.0|24.0859375)
(64.0|24.0859375)
(66.0|24.08984375)
(67.0|24.08984375)
(69.0|24.08984375)
(70.0|24.21484375)
(71.0|24.21484375)
(73.0|24.21484375)
(74.0|24.21484375)
(75.0|24.21484375)
(77.0|24.30859375)
(78.0|24.30859375)
(80.0|24.1875)
(82.0|24.1875)
(83.0|24.1875)
(85.0|24.09765625)
(87.0|24.22265625)
(88.0|24.22265625)
(89.0|24.1015625)
(91.0|24.1015625)
(92.0|24.2265625)
(94.0|24.10546875)
(96.0|24.10546875)
(98.0|24.10546875)
(99.0|24.19921875)
(101.0|24.1796875)
(103.0|24.1796875)
(104.0|24.1796875)
(105.0|24.1796875)
(106.0|24.1796875)
(108.0|24.1796875)
(109.0|24.1796875)
(111.0|24.3046875)
(113.0|24.3046875)
(114.0|24.18359375)
(116.0|24.18359375)
(117.0|24.23828125)
(118.0|24.23828125)
(119.0|24.1171875)
(121.0|24.1171875)
(122.0|24.2421875)
(123.0|24.1328125)
(125.0|24.1328125)
(126.0|24.1328125)
(127.0|24.1328125)
(129.0|24.2578125)
(131.0|24.2578125)
(133.0|24.13671875)
(135.0|24.13671875)
(136.0|24.26171875)
(137.0|24.265625)
(139.0|24.16796875)
(140.0|24.16796875)
(142.0|24.16796875)
(144.0|24.140625)
(145.0|24.140625)
(147.0|24.140625)
(148.0|24.140625)
(150.0|24.140625)
(151.0|24.140625)
(152.0|24.140625)
(154.0|24.140625)
(155.0|24.265625)
(157.0|24.14453125)
(158.0|24.14453125)
(160.0|24.16796875)
(161.0|24.16796875)
(163.0|24.16796875)
(164.0|24.16796875)
(166.0|24.16796875)
(168.0|24.16796875)
(169.0|24.16796875)
(171.0|24.16796875)
(173.0|24.1484375)
(174.0|24.15234375)
(176.0|24.15234375)
(178.0|24.15234375)
(179.0|24.15234375)
(181.0|24.15234375)
(183.0|24.16015625)
