(0.0|354.01953125)
(1.0|354.37890625)
(3.0|358.00390625)
(4.0|358.08203125)
(6.0|357.3671875)
(8.0|357.4921875)
(9.0|357.39453125)
(10.0|357.359375)
(11.0|357.359375)
(12.0|357.359375)
(14.0|357.48046875)
(16.0|357.52734375)
(17.0|357.52734375)
(19.0|357.65625)
(21.0|357.77734375)
(23.0|358.02734375)
(24.0|358.02734375)
(26.0|358.0234375)
(27.0|358.0234375)
(29.0|358.1484375)
(30.0|358.14453125)
(32.0|358.26953125)
(34.0|358.34765625)
(36.0|358.46875)
(37.0|358.46875)
(39.0|358.6875)
(40.0|358.80859375)
(42.0|358.80859375)
(44.0|359.05859375)
(45.0|359.18359375)
(47.0|359.18359375)
(49.0|359.39453125)
(50.0|359.46484375)
(52.0|359.46484375)
(53.0|359.58984375)
(55.0|359.5859375)
(56.0|359.5859375)
(58.0|359.7109375)
(59.0|359.7109375)
(60.0|359.70703125)
(62.0|359.70703125)
(64.0|359.84765625)
(65.0|359.96875)
(66.0|359.96875)
(68.0|359.96875)
(69.0|360.08984375)
(71.0|360.0859375)
(73.0|360.16796875)
(75.0|360.2890625)
(76.0|360.2890625)
(78.0|360.2890625)
(80.0|360.28515625)
(81.0|360.41015625)
(82.0|360.53515625)
(83.0|360.62109375)
(85.0|360.6171875)
(87.0|360.6171875)
(88.0|360.7421875)
(89.0|360.7421875)
(90.0|360.86328125)
(92.0|360.86328125)
(93.0|360.86328125)
(94.0|360.86328125)
(95.0|360.859375)
(97.0|360.859375)
(98.0|361.109375)
(99.0|361.109375)
(100.0|361.10546875)
(102.0|361.10546875)
(103.0|361.10546875)
(105.0|361.3125)
(107.0|361.3125)
(108.0|361.3125)
(110.0|365.05859375)
(111.0|365.18359375)
(112.0|365.18359375)
(114.0|365.18359375)
(115.0|365.1796875)
(116.0|365.41796875)
(118.0|365.41796875)
(119.0|365.54296875)
(121.0|365.5390625)
(123.0|365.5390625)
(124.0|365.5390625)
(126.0|365.66015625)
(127.0|365.66015625)
(129.0|365.91015625)
(130.0|366.03125)
(132.0|366.03125)
(133.0|366.06640625)
(135.0|366.1875)
(137.0|366.1875)
(138.0|366.1875)
(140.0|366.3125)
(141.0|366.30859375)
(143.0|371.20703125)
(144.0|371.33203125)
(145.0|371.328125)
(147.0|366.5859375)
(148.0|366.5859375)
(149.0|366.68359375)
(151.0|366.6796875)
(152.0|366.8046875)
(154.0|366.734375)
(155.0|366.85546875)
(156.0|366.85546875)
(157.0|366.85546875)
(158.0|366.98046875)
(160.0|367.1015625)
(161.0|367.1015625)
(163.0|367.1015625)
(165.0|367.265625)
(166.0|367.265625)
(168.0|367.265625)
(169.0|367.265625)
(170.0|367.26171875)
(172.0|367.38671875)
(174.0|367.38671875)
(175.0|367.5)
(177.0|367.5)
(179.0|367.625)
(180.0|367.62109375)
(182.0|367.78125)
(183.0|367.78125)
(184.0|367.78125)
(185.0|367.77734375)
(187.0|368.01953125)
(188.0|375.4453125)
(189.0|375.5703125)
(191.0|372.12890625)
(193.0|372.16015625)
(194.0|372.28125)
(195.0|372.27734375)
(197.0|372.27734375)
(198.0|372.27734375)
(199.0|372.40234375)
(200.0|372.3984375)
(202.0|372.3984375)
(203.0|372.5234375)
(205.0|372.51953125)
(206.0|372.54296875)
(207.0|372.66796875)
(209.0|372.5703125)
(210.0|372.69140625)
(211.0|372.69140625)
(212.0|372.69140625)
(214.0|372.69140625)
(216.0|372.8125)
(217.0|372.9375)
(218.0|373.0625)
(220.0|373.05859375)
(221.0|373.18359375)
(223.0|373.18359375)
(225.0|373.08203125)
(226.0|373.328125)
(227.0|373.328125)
(229.0|373.328125)
(230.0|373.44921875)
(232.0|373.44921875)
(234.0|373.57421875)
(235.0|373.6953125)
(236.0|373.6953125)
(238.0|373.765625)
(239.0|373.765625)
(241.0|375.76171875)
(242.0|375.76171875)
(244.0|388.20703125)
(246.0|388.203125)
(248.0|381.07421875)
(249.0|381.07421875)
(251.0|381.1953125)
(253.0|376.40625)
(255.0|376.40234375)
(257.0|376.40234375)
(258.0|376.40234375)
(259.0|376.40234375)
(261.0|376.39453125)
(262.0|376.64453125)
(263.0|376.76953125)
(265.0|376.78515625)
(266.0|376.78515625)
(268.0|376.78515625)
(269.0|376.78515625)
(271.0|376.90625)
(272.0|376.90625)
(274.0|376.90625)
(276.0|377.02734375)
(277.0|377.02734375)
(278.0|377.02734375)
(280.0|377.3984375)
(281.0|377.3984375)
(282.0|377.3984375)
(283.0|377.3984375)
(285.0|377.5)
(286.0|377.625)
(288.0|377.625)
(289.0|377.625)
(290.0|377.62109375)
(292.0|377.6015625)
(294.0|377.7265625)
(296.0|377.84765625)
(297.0|377.72265625)
(299.0|377.87109375)
(301.0|377.91015625)
(302.0|377.91015625)
(303.0|377.91015625)
(305.0|378.03125)
(306.0|378.03125)
(308.0|378.08203125)
(309.0|378.1015625)
(311.0|378.22265625)
(313.0|378.21875)
(314.0|380.21484375)
(316.0|380.2109375)
(317.0|380.3046875)
(319.0|380.3046875)
(321.0|380.42578125)
(322.0|380.42578125)
(323.0|380.42578125)
(324.0|380.50390625)
(326.0|380.5)
(327.0|380.5)
(328.0|380.5)
(330.0|380.625)
(331.0|380.75)
(332.0|380.75)
(333.0|380.75)
(335.0|380.75)
(336.0|380.87109375)
(338.0|380.87109375)
(339.0|382.484375)
(340.0|382.48046875)
(342.0|382.48046875)
(344.0|382.60546875)
(345.0|382.74609375)
(347.0|382.74609375)
(349.0|382.74609375)
(350.0|382.8671875)
(351.0|382.8671875)
(353.0|382.8671875)
(355.0|382.95703125)
(356.0|382.95703125)
(357.0|382.95703125)
(358.0|382.95703125)
(360.0|383.078125)
(361.0|383.078125)
(362.0|383.078125)
(364.0|383.078125)
(365.0|383.19921875)
(366.0|383.1796875)
(368.0|383.33203125)
(370.0|383.35546875)
(372.0|383.35546875)
(374.0|383.3515625)
(375.0|383.47265625)
(377.0|383.47265625)
(378.0|383.47265625)
(379.0|383.7109375)
(381.0|383.70703125)
(382.0|383.83203125)
(384.0|383.83203125)
(385.0|383.828125)
(387.0|383.953125)
(389.0|384.078125)
(390.0|384.07421875)
(391.0|384.07421875)
(392.0|382.6015625)
(394.0|382.7265625)
(395.0|382.84765625)
(397.0|382.84765625)
(398.0|382.91796875)
(400.0|382.9140625)
(402.0|383.0390625)
(404.0|383.1640625)
(405.0|383.26171875)
(407.0|383.26171875)
(409.0|383.26171875)
(410.0|383.2578125)
(411.0|383.3828125)
(413.0|383.3828125)
(414.0|383.3828125)
(416.0|383.50390625)
(417.0|383.5859375)
(419.0|383.5859375)
(420.0|383.625)
(422.0|383.625)
(423.0|383.625)
(425.0|383.703125)
(426.0|383.703125)
(427.0|383.828125)
(429.0|385.08984375)
(430.0|383.82421875)
(432.0|383.94921875)
(434.0|383.9453125)
(435.0|383.94140625)
(437.0|383.94140625)
(438.0|384.06640625)
(439.0|385.9140625)
(441.0|386.03515625)
(443.0|386.03515625)
(444.0|386.09765625)
(446.0|386.09375)
(447.0|386.21875)
(449.0|388.11328125)
(451.0|388.234375)
(453.0|388.234375)
(455.0|388.23046875)
(456.0|388.48046875)
(458.0|388.48046875)
(459.0|392.48046875)
(460.0|392.4765625)
(462.0|392.6015625)
(463.0|392.6015625)
(465.0|392.6328125)
(466.0|392.640625)
(467.0|392.765625)
(468.0|392.765625)
(470.0|392.76171875)
(472.0|392.88671875)
(473.0|392.953125)
(474.0|392.953125)
(475.0|392.94921875)
(477.0|393.03515625)
(478.0|393.03515625)
(480.0|393.03125)
(481.0|393.03125)
(483.0|393.03125)
(484.0|393.15625)
(486.0|393.27734375)
(487.0|393.27734375)
(489.0|393.27734375)
(490.0|393.2734375)
(491.0|393.2734375)
(493.0|393.39453125)
(494.0|393.51953125)
(496.0|393.515625)
(498.0|393.515625)
(500.0|393.63671875)
(501.0|393.63671875)
(502.0|393.63671875)
(503.0|393.63671875)
(505.0|393.6328125)
(507.0|393.6328125)
(508.0|393.7578125)
(510.0|393.875)
(511.0|393.875)
(513.0|393.875)
(514.0|393.875)
(515.0|393.87109375)
(516.0|393.99609375)
(518.0|393.99609375)
(520.0|394.1171875)
(522.0|394.1171875)
(523.0|394.1171875)
(524.0|394.2421875)
(526.0|394.23046875)
(527.0|394.35546875)
(528.0|394.35546875)
(530.0|394.3515625)
(532.0|394.4765625)
(533.0|394.4765625)
(535.0|394.38671875)
(536.0|394.51171875)
(538.0|394.63671875)
(540.0|394.6328125)
(541.0|394.6328125)
(543.0|394.7578125)
(544.0|394.8671875)
(546.0|394.98828125)
(547.0|394.98828125)
(549.0|394.98828125)
(550.0|394.984375)
(551.0|395.109375)
(553.0|395.109375)
(554.0|395.23046875)
(556.0|395.2265625)
(558.0|395.2265625)
(559.0|395.2265625)
(560.0|395.34765625)
(562.0|395.34765625)
(564.0|395.4140625)
(565.0|395.41015625)
(567.0|395.41015625)
(568.0|395.41015625)
(570.0|395.53125)
(571.0|395.65625)
(573.0|395.65625)
(574.0|395.65625)
(576.0|395.73046875)
(577.0|395.85546875)
(579.0|395.74609375)
(580.0|395.75390625)
(582.0|395.87890625)
(584.0|395.87890625)
(585.0|395.94921875)
(586.0|396.07421875)
(588.0|396.07421875)
(589.0|396.07421875)
(591.0|396.0703125)
(593.0|396.1953125)
(594.0|396.1953125)
(595.0|396.19140625)
(597.0|396.31640625)
