(0.0|13.76171875)
(1.0|27.3828125)
(2.0|27.3359375)
(4.0|27.4609375)
(5.0|27.46484375)
(7.0|27.46484375)
(9.0|27.36328125)
(10.0|27.3671875)
(12.0|27.375)
(13.0|27.3828125)
(15.0|27.390625)
(16.0|27.39453125)
(18.0|27.76953125)
(19.0|27.73828125)
(21.0|27.7421875)
(23.0|27.7421875)
(25.0|27.8671875)
(26.0|27.9921875)
(28.0|27.9921875)
(29.0|28.1171875)
(31.0|28.40234375)
(32.0|28.28125)
(33.0|28.40625)
(35.0|28.5234375)
(36.0|28.41015625)
(38.0|28.53515625)
(40.0|28.42578125)
(42.0|28.42578125)
(43.0|28.42578125)
(44.0|28.42578125)
(46.0|28.42578125)
(48.0|28.55078125)
(50.0|28.55078125)
(52.0|28.55078125)
(53.0|28.72265625)
(55.0|28.72265625)
(57.0|29.84765625)
(58.0|29.97265625)
(60.0|30.09765625)
(62.0|30.09765625)
(63.0|32.22265625)
(65.0|32.16796875)
(67.0|32.29296875)
(68.0|32.29296875)
(69.0|32.19921875)
(71.0|32.19921875)
(72.0|32.19921875)
(74.0|32.19921875)
(76.0|32.19921875)
(77.0|32.0859375)
(78.0|32.0859375)
(80.0|32.2109375)
(81.0|32.2109375)
(83.0|32.2109375)
(84.0|32.3359375)
(85.0|32.21484375)
(87.0|32.21484375)
(88.0|32.21484375)
(89.0|32.33984375)
(91.0|32.33984375)
(92.0|32.2265625)
(94.0|32.3515625)
(95.0|32.3515625)
(97.0|32.3515625)
(98.0|32.3515625)
(99.0|32.12890625)
(101.0|32.25390625)
(103.0|32.25390625)
(105.0|32.25390625)
(106.0|32.25390625)
(107.0|32.25390625)
(108.0|32.25390625)
(110.0|32.25390625)
(111.0|32.1484375)
(112.0|32.1484375)
(114.0|32.2734375)
(116.0|32.15234375)
(117.0|32.27734375)
(119.0|32.40234375)
(120.0|32.40234375)
(121.0|32.40234375)
(123.0|32.40625)
(124.0|32.40625)
(125.0|32.40625)
(127.0|32.40625)
(128.0|32.40625)
(130.0|32.29296875)
(132.0|32.29296875)
(133.0|32.41796875)
(134.0|32.41796875)
(136.0|32.3046875)
(137.0|32.1875)
(139.0|32.3125)
(140.0|32.3125)
(142.0|32.3125)
(144.0|32.4375)
(145.0|32.4375)
(147.0|32.4375)
(149.0|32.4375)
(151.0|32.4375)
(152.0|32.4375)
(154.0|32.4375)
(155.0|32.4375)
(157.0|32.49609375)
(159.0|32.375)
(160.0|32.2734375)
(161.0|32.3984375)
(162.0|32.3984375)
(164.0|32.3984375)
(166.0|32.3984375)
(167.0|32.3984375)
(168.0|32.3984375)
(170.0|32.3984375)
(171.0|32.3984375)
(173.0|32.5234375)
(175.0|32.734375)
(177.0|32.734375)
(178.0|32.859375)
(180.0|32.984375)
(181.0|32.984375)
(183.0|33.0859375)
(184.0|33.3359375)
(186.0|33.23828125)
(188.0|33.23828125)
(189.0|33.23828125)
(191.0|33.23828125)
(192.0|33.36328125)
(194.0|33.36328125)
(195.0|33.36328125)
(196.0|33.36328125)
(198.0|33.16796875)
(200.0|33.29296875)
(201.0|33.29296875)
(202.0|33.41796875)
(203.0|33.41796875)
(205.0|33.296875)
(207.0|34.5078125)
(209.0|34.5078125)
(210.0|34.5078125)
(212.0|34.6328125)
(213.0|34.6328125)
(214.0|34.6328125)
(216.0|34.6328125)
(217.0|34.6328125)
(219.0|34.55078125)
(221.0|34.55078125)
(223.0|34.55078125)
(224.0|34.55859375)
(225.0|34.68359375)
(227.0|34.86328125)
(228.0|34.86328125)
(230.0|34.86328125)
(232.0|34.75)
(233.0|34.75)
(235.0|34.75)
(237.0|34.75)
(239.0|34.75)
(240.0|34.75)
(241.0|34.75)
(243.0|34.75)
(244.0|34.75)
(246.0|34.75)
(248.0|34.75)
(250.0|34.75)
(251.0|34.75)
(252.0|34.75)
(254.0|34.75)
(255.0|34.75)
(256.0|34.75)
(258.0|34.6640625)
(259.0|34.7890625)
(261.0|34.7890625)
(263.0|34.66796875)
(265.0|34.79296875)
(266.0|34.79296875)
(267.0|34.79296875)
(269.0|34.91796875)
(270.0|34.91796875)
(272.0|36.91796875)
(273.0|36.91796875)
(274.0|36.91796875)
(275.0|36.91796875)
(276.0|36.91796875)
(277.0|36.8359375)
(279.0|36.8359375)
(280.0|36.8046875)
(282.0|36.8046875)
(283.0|36.8046875)
(284.0|37.0546875)
(285.0|37.0546875)
(286.0|37.0546875)
(288.0|37.0546875)
(290.0|37.0546875)
(291.0|37.0546875)
(292.0|37.0546875)
(294.0|37.0546875)
(295.0|37.0546875)
(296.0|37.0546875)
(298.0|37.0546875)
(300.0|36.94140625)
(301.0|36.94140625)
(302.0|36.94140625)
(304.0|36.94140625)
(305.0|36.94140625)
(306.0|36.94140625)
(307.0|39.19140625)
(309.0|39.19140625)
(310.0|39.19140625)
(311.0|39.19140625)
(313.0|39.09765625)
(314.0|39.09765625)
(316.0|39.09765625)
(318.0|39.109375)
(319.0|39.109375)
